Date,Product_ID,Product_Name,Category,Opening_Stock,Units_Sold,Stock_Received,Closing_Stock
2024-01-12,P149,LED Bulb V2,Home,65,1,7,71
2024-01-12,P150,LED Bulb V3,Home,219,3,3,219
2024-01-12,P158,Phone Case V2,Accessories,257,3,6,260
2024-01-12,P176,Tea V2,Grocery,379,4,5,380
2024-01-13,P115,Bluetooth Speaker V1,Electronics,301,1,5,305
2024-01-13,P142,Table Clock V1,Home,142,1,3,144
2024-01-13,P156,Laptop Bag V3,Accessories,360,2,2,360
2024-01-13,P160,Charging Cable V1,Accessories,325,2,7,330
2024-01-13,P179,Biscuits V2,Grocery,182,1,5,186
2024-01-14,P110,USB Hub V2,Electronics,332,1,3,334
2024-01-14,P137,Water Bottle V2,Home,115,3,10,122
2024-01-15,P130,File Folder V1,Office,327,2,3,328
2024-01-15,P140,Storage Box V2,Home,217,4,3,216
2024-01-15,P157,Phone Case V1,Accessories,299,6,3,296
2024-01-15,P162,Charging Cable V3,Accessories,209,2,2,209
2024-01-15,P166,Desk Mat V1,Accessories,68,1,4,71
2024-01-15,P175,Tea V1,Grocery,189,3,3,189
2024-01-16,P105,Keyboard V3,Electronics,160,4,3,159
2024-01-16,P112,Webcam V1,Electronics,273,2,4,275
2024-01-16,P119,Notebook V2,Office,326,3,5,328
2024-01-16,P144,Table Clock V3,Home,190,4,7,193
2024-01-16,P147,Cushion V3,Home,252,1,6,257
2024-01-16,P155,Laptop Bag V2,Accessories,334,2,1,333
2024-01-16,P177,Tea V3,Grocery,131,2,6,135
2024-01-17,P100,Wireless Mouse V1,Electronics,253,2,2,253
2024-01-17,P111,USB Hub V3,Electronics,355,4,0,351
2024-01-17,P135,Stapler V3,Office,403,2,2,403
2024-01-17,P144,Table Clock V3,Home,234,3,2,233
2024-01-17,P146,Cushion V2,Home,365,2,6,369
2024-01-17,P176,Tea V2,Grocery,403,3,4,404
2024-01-18,P100,Wireless Mouse V1,Electronics,186,9,5,182
2024-01-18,P106,Headphones V1,Electronics,390,3,3,390
2024-01-18,P121,Office Chair V1,Office,397,2,4,399
2024-01-18,P126,Desk Lamp V3,Office,236,1,9,244
2024-01-18,P143,Table Clock V2,Home,154,1,6,159
2024-01-18,P155,Laptop Bag V2,Accessories,256,1,4,259
2024-01-18,P167,Desk Mat V2,Accessories,259,1,3,261
2024-01-19,P107,Headphones V2,Electronics,181,1,2,182
2024-01-19,P108,Headphones V3,Electronics,417,2,2,417
2024-01-19,P146,Cushion V2,Home,272,3,5,274
2024-01-19,P163,Power Bank V1,Accessories,324,1,7,330
2024-01-20,P120,Notebook V3,Office,78,2,7,83
2024-01-20,P136,Water Bottle V1,Home,248,3,4,249
2024-01-20,P155,Laptop Bag V2,Accessories,304,2,5,307
2024-01-20,P171,Travel Pouch V3,Accessories,207,2,4,209
2024-01-20,P172,Coffee V1,Grocery,208,1,1,208
2024-01-20,P173,Coffee V2,Grocery,325,3,6,328
2024-01-21,P100,Wireless Mouse V1,Electronics,262,4,5,263
2024-01-21,P136,Water Bottle V1,Home,286,3,1,284
2024-01-21,P140,Storage Box V2,Home,147,3,2,146
2024-01-21,P142,Table Clock V1,Home,122,4,4,122
2024-01-21,P145,Cushion V1,Home,92,1,4,95
2024-01-21,P146,Cushion V2,Home,273,1,3,275
2024-01-21,P147,Cushion V3,Home,199,3,2,198
2024-01-21,P162,Charging Cable V3,Accessories,149,3,2,148
2024-01-21,P173,Coffee V2,Grocery,244,2,3,245
2024-01-22,P103,Keyboard V1,Electronics,282,2,4,284
2024-01-22,P110,USB Hub V2,Electronics,272,1,8,279
2024-01-22,P152,Cleaning Kit V2,Home,145,2,4,147
2024-01-22,P162,Charging Cable V3,Accessories,130,1,3,132
2024-01-22,P167,Desk Mat V2,Accessories,321,4,4,321
2024-01-22,P177,Tea V3,Grocery,173,2,2,173
2024-01-23,P109,USB Hub V1,Electronics,221,4,7,224
2024-01-23,P122,Office Chair V2,Office,172,3,2,171
2024-01-23,P138,Water Bottle V3,Home,184,2,3,185
2024-01-23,P142,Table Clock V1,Home,232,1,4,235
2024-01-23,P158,Phone Case V2,Accessories,328,1,0,327
2024-01-23,P160,Charging Cable V1,Accessories,308,1,3,310
2024-01-23,P166,Desk Mat V1,Accessories,68,3,4,69
2024-01-23,P170,Travel Pouch V2,Accessories,172,5,7,174
2024-01-24,P102,Wireless Mouse V3,Electronics,308,1,4,311
2024-01-24,P113,Webcam V2,Electronics,153,1,2,154
2024-01-24,P142,Table Clock V1,Home,164,3,3,164
2024-01-24,P143,Table Clock V2,Home,174,3,3,174
2024-01-25,P122,Office Chair V2,Office,176,2,1,175
2024-01-25,P154,Laptop Bag V1,Accessories,407,2,4,409
2024-01-25,P161,Charging Cable V2,Accessories,373,2,4,375
2024-01-25,P166,Desk Mat V1,Accessories,102,1,3,104
2024-01-26,P100,Wireless Mouse V1,Electronics,277,7,5,275
2024-01-26,P104,Keyboard V2,Electronics,331,1,4,334
2024-01-26,P109,USB Hub V1,Electronics,238,4,5,239
2024-01-26,P132,File Folder V3,Office,224,1,1,224
2024-01-26,P136,Water Bottle V1,Home,240,4,2,238
2024-01-27,P100,Wireless Mouse V1,Electronics,138,4,6,140
2024-01-27,P111,USB Hub V3,Electronics,401,2,5,404
2024-01-27,P133,Stapler V1,Office,112,1,4,115
2024-01-28,P120,Notebook V3,Office,66,1,0,65
2024-01-28,P121,Office Chair V1,Office,287,8,6,285
2024-01-28,P125,Desk Lamp V2,Office,278,1,4,281
2024-01-28,P129,Printer Paper V3,Office,258,1,5,262
2024-01-28,P131,File Folder V2,Office,236,2,1,235
2024-01-28,P135,Stapler V3,Office,327,1,6,332
2024-01-28,P141,Storage Box V3,Home,306,5,11,312
2024-01-28,P177,Tea V3,Grocery,115,6,5,114
2024-01-30,P114,Webcam V3,Electronics,309,1,2,310
2024-01-30,P115,Bluetooth Speaker V1,Electronics,259,1,3,261
2024-01-30,P119,Notebook V2,Office,316,1,2,317
2024-01-30,P139,Storage Box V1,Home,72,2,7,77
2024-01-30,P142,Table Clock V1,Home,130,1,4,133
2024-01-30,P144,Table Clock V3,Home,164,1,5,168
2024-01-31,P102,Wireless Mouse V3,Electronics,324,2,4,326
2024-01-31,P105,Keyboard V3,Electronics,148,1,4,151
2024-01-31,P110,USB Hub V2,Electronics,328,2,2,328
2024-01-31,P116,Bluetooth Speaker V2,Electronics,302,1,2,303
2024-01-31,P132,File Folder V3,Office,315,2,5,318
2024-01-31,P136,Water Bottle V1,Home,238,1,8,245
2024-01-31,P146,Cushion V2,Home,250,5,2,247
2024-01-31,P155,Laptop Bag V2,Accessories,226,2,3,227
2024-02-01,P114,Webcam V3,Electronics,296,2,4,298
2024-02-01,P127,Printer Paper V1,Office,421,2,4,423
2024-02-01,P138,Water Bottle V3,Home,82,1,5,86
2024-02-01,P143,Table Clock V2,Home,183,1,3,185
2024-02-01,P150,LED Bulb V3,Home,244,6,2,240
2024-02-01,P167,Desk Mat V2,Accessories,285,1,2,286
2024-02-02,P115,Bluetooth Speaker V1,Electronics,304,5,3,302
2024-02-02,P137,Water Bottle V2,Home,88,2,2,88
2024-02-02,P143,Table Clock V2,Home,195,2,2,195
2024-02-02,P149,LED Bulb V2,Home,170,1,4,173
2024-02-02,P151,Cleaning Kit V1,Home,241,3,2,240
2024-02-03,P149,LED Bulb V2,Home,71,4,4,71
2024-02-04,P100,Wireless Mouse V1,Electronics,186,1,6,191
2024-02-04,P125,Desk Lamp V2,Office,257,3,4,258
2024-02-04,P139,Storage Box V1,Home,72,2,9,79
2024-02-04,P144,Table Clock V3,Home,172,1,2,173
2024-02-04,P151,Cleaning Kit V1,Home,255,3,4,256
2024-02-04,P154,Laptop Bag V1,Accessories,323,1,8,330
2024-02-04,P164,Power Bank V2,Accessories,258,1,7,264
2024-02-04,P178,Biscuits V1,Grocery,318,1,6,323
2024-02-05,P154,Laptop Bag V1,Accessories,390,1,4,393
2024-02-05,P159,Phone Case V3,Accessories,309,2,6,313
2024-02-05,P169,Travel Pouch V1,Accessories,293,1,3,295
2024-02-06,P108,Headphones V3,Electronics,378,4,3,377
2024-02-06,P148,LED Bulb V1,Home,275,1,5,279
2024-02-06,P169,Travel Pouch V1,Accessories,299,5,9,303
2024-02-06,P174,Coffee V3,Grocery,180,1,6,185
2024-02-07,P124,Desk Lamp V1,Office,220,7,3,216
2024-02-07,P137,Water Bottle V2,Home,143,1,3,145
2024-02-07,P177,Tea V3,Grocery,78,1,5,82
2024-02-07,P178,Biscuits V1,Grocery,218,1,3,220
2024-02-07,P179,Biscuits V2,Grocery,262,1,2,263
2024-02-08,P151,Cleaning Kit V1,Home,134,4,3,133
2024-02-08,P179,Biscuits V2,Grocery,267,3,6,270
2024-02-09,P129,Printer Paper V3,Office,291,1,2,292
2024-02-09,P138,Water Bottle V3,Home,156,1,6,161
2024-02-09,P144,Table Clock V3,Home,216,3,7,220
2024-02-09,P150,LED Bulb V3,Home,268,5,7,270
2024-02-09,P161,Charging Cable V2,Accessories,339,2,2,339
2024-02-09,P176,Tea V2,Grocery,390,4,3,389
2024-02-10,P111,USB Hub V3,Electronics,388,1,1,388
2024-02-10,P121,Office Chair V1,Office,315,2,3,316
2024-02-10,P129,Printer Paper V3,Office,314,1,6,319
2024-02-10,P149,LED Bulb V2,Home,64,4,4,64
2024-02-11,P102,Wireless Mouse V3,Electronics,308,2,2,308
2024-02-11,P127,Printer Paper V1,Office,416,1,2,417
2024-02-11,P145,Cushion V1,Home,52,4,3,51
2024-02-11,P159,Phone Case V3,Accessories,277,4,4,277
2024-02-11,P167,Desk Mat V2,Accessories,270,1,3,272
2024-02-11,P169,Travel Pouch V1,Accessories,220,4,1,217
2024-02-11,P170,Travel Pouch V2,Accessories,248,3,4,249
2024-02-12,P120,Notebook V3,Office,60,2,3,61
2024-02-12,P126,Desk Lamp V3,Office,254,4,3,253
2024-02-12,P148,LED Bulb V1,Home,277,3,7,281
2024-02-13,P121,Office Chair V1,Office,386,2,4,388
2024-02-13,P140,Storage Box V2,Home,144,4,4,144
2024-02-14,P105,Keyboard V3,Electronics,110,4,2,108
2024-02-14,P110,USB Hub V2,Electronics,287,1,1,287
2024-02-14,P118,Notebook V1,Office,287,3,3,287
2024-02-14,P122,Office Chair V2,Office,88,2,5,91
2024-02-14,P127,Printer Paper V1,Office,363,4,6,365
2024-02-14,P169,Travel Pouch V1,Accessories,180,2,7,185
2024-02-14,P176,Tea V2,Grocery,310,2,3,311
2024-02-14,P177,Tea V3,Grocery,61,1,8,68
2024-02-15,P108,Headphones V3,Electronics,417,4,11,424
2024-02-15,P116,Bluetooth Speaker V2,Electronics,235,1,3,237
2024-02-15,P145,Cushion V1,Home,80,3,6,83
2024-02-15,P157,Phone Case V1,Accessories,278,2,4,280
2024-02-16,P119,Notebook V2,Office,250,3,8,255
2024-02-16,P126,Desk Lamp V3,Office,266,1,6,271
2024-02-16,P127,Printer Paper V1,Office,372,3,3,372
2024-02-16,P151,Cleaning Kit V1,Home,243,4,4,243
2024-02-16,P178,Biscuits V1,Grocery,234,2,5,237
2024-02-17,P100,Wireless Mouse V1,Electronics,217,1,4,220
2024-02-17,P103,Keyboard V1,Electronics,237,1,6,242
2024-02-17,P132,File Folder V3,Office,202,4,4,202
2024-02-17,P134,Stapler V2,Office,316,2,2,316
2024-02-17,P159,Phone Case V3,Accessories,338,3,2,337
2024-02-17,P168,Desk Mat V3,Accessories,332,3,6,335
2024-02-17,P174,Coffee V3,Grocery,141,3,3,141
2024-02-17,P178,Biscuits V1,Grocery,247,4,6,249
2024-02-18,P105,Keyboard V3,Electronics,174,1,5,178
2024-02-18,P116,Bluetooth Speaker V2,Electronics,289,1,3,291
2024-02-18,P125,Desk Lamp V2,Office,337,2,5,340
2024-02-18,P149,LED Bulb V2,Home,151,1,2,152
2024-02-18,P160,Charging Cable V1,Accessories,323,2,3,324
2024-02-18,P172,Coffee V1,Grocery,226,4,1,223
2024-02-19,P108,Headphones V3,Electronics,366,2,6,370
2024-02-19,P125,Desk Lamp V2,Office,214,2,6,218
2024-02-19,P171,Travel Pouch V3,Accessories,267,7,6,266
2024-02-20,P102,Wireless Mouse V3,Electronics,368,3,1,366
2024-02-20,P169,Travel Pouch V1,Accessories,258,2,2,258
2024-02-20,P172,Coffee V1,Grocery,168,2,4,170
2024-02-21,P163,Power Bank V1,Accessories,376,3,4,377
2024-02-22,P121,Office Chair V1,Office,316,1,5,320
2024-02-22,P131,File Folder V2,Office,249,2,3,250
2024-02-22,P168,Desk Mat V3,Accessories,373,1,1,373
2024-02-23,P115,Bluetooth Speaker V1,Electronics,370,2,7,375
2024-02-23,P121,Office Chair V1,Office,296,2,4,298
2024-02-23,P141,Storage Box V3,Home,309,1,4,312
2024-02-23,P142,Table Clock V1,Home,98,2,1,97
2024-02-23,P150,LED Bulb V3,Home,237,2,3,238
2024-02-23,P161,Charging Cable V2,Accessories,311,1,4,314
2024-02-23,P162,Charging Cable V3,Accessories,132,1,5,136
2024-02-24,P103,Keyboard V1,Electronics,231,2,5,234
2024-02-24,P125,Desk Lamp V2,Office,312,3,4,313
2024-02-24,P150,LED Bulb V3,Home,269,2,1,268
2024-02-24,P159,Phone Case V3,Accessories,216,2,4,218
2024-02-24,P173,Coffee V2,Grocery,278,4,7,281
2024-02-24,P179,Biscuits V2,Grocery,280,2,8,286
2024-02-25,P103,Keyboard V1,Electronics,264,2,7,269
2024-02-25,P108,Headphones V3,Electronics,329,1,2,330
2024-02-25,P127,Printer Paper V1,Office,342,1,5,346
2024-02-25,P143,Table Clock V2,Home,155,1,5,159
2024-02-25,P148,LED Bulb V1,Home,190,7,3,186
2024-02-26,P109,USB Hub V1,Electronics,193,4,6,195
2024-02-26,P114,Webcam V3,Electronics,314,1,4,317
2024-02-26,P130,File Folder V1,Office,363,1,3,365
2024-02-26,P133,Stapler V1,Office,59,2,2,59
2024-02-26,P142,Table Clock V1,Home,233,1,4,236
2024-02-26,P165,Power Bank V3,Accessories,205,6,5,204
2024-02-26,P179,Biscuits V2,Grocery,265,1,6,270
2024-02-27,P117,Bluetooth Speaker V3,Electronics,292,2,10,300
2024-02-27,P120,Notebook V3,Office,79,2,3,80
2024-02-27,P121,Office Chair V1,Office,283,4,8,287
2024-02-28,P128,Printer Paper V2,Office,137,1,3,139
2024-02-28,P139,Storage Box V1,Home,65,6,5,64
2024-02-28,P144,Table Clock V3,Home,266,3,8,271
2024-02-28,P148,LED Bulb V1,Home,164,1,3,166
2024-02-28,P163,Power Bank V1,Accessories,433,2,5,436
2024-02-28,P174,Coffee V3,Grocery,161,1,5,165
2024-02-28,P177,Tea V3,Grocery,117,1,5,121
2024-02-28,P178,Biscuits V1,Grocery,320,2,4,322
2024-02-29,P152,Cleaning Kit V2,Home,179,4,1,176
2024-02-29,P158,Phone Case V2,Accessories,274,2,6,278
2024-03-01,P119,Notebook V2,Office,285,1,2,286
2024-03-01,P126,Desk Lamp V3,Office,276,3,2,275
2024-03-01,P160,Charging Cable V1,Accessories,391,1,4,394
2024-03-02,P106,Headphones V1,Electronics,409,2,5,412
2024-03-02,P131,File Folder V2,Office,183,3,4,184
2024-03-02,P138,Water Bottle V3,Home,72,1,4,75
2024-03-02,P158,Phone Case V2,Accessories,293,4,3,292
2024-03-02,P176,Tea V2,Grocery,299,4,2,297
2024-03-02,P178,Biscuits V1,Grocery,271,3,5,273
2024-03-03,P124,Desk Lamp V1,Office,193,3,6,196
2024-03-03,P132,File Folder V3,Office,207,3,6,210
2024-03-03,P147,Cushion V3,Home,221,3,2,220
2024-03-03,P166,Desk Mat V1,Accessories,207,2,6,211
2024-03-03,P173,Coffee V2,Grocery,287,1,6,292
2024-03-04,P117,Bluetooth Speaker V3,Electronics,195,1,3,197
2024-03-04,P125,Desk Lamp V2,Office,215,2,5,218
2024-03-04,P152,Cleaning Kit V2,Home,158,1,8,165
2024-03-04,P163,Power Bank V1,Accessories,364,5,2,361
2024-03-04,P165,Power Bank V3,Accessories,205,1,5,209
2024-03-04,P171,Travel Pouch V3,Accessories,295,2,2,295
2024-03-05,P129,Printer Paper V3,Office,265,3,5,267
2024-03-05,P132,File Folder V3,Office,266,3,4,267
2024-03-05,P150,LED Bulb V3,Home,208,5,4,207
2024-03-05,P153,Cleaning Kit V3,Home,343,1,3,345
2024-03-05,P157,Phone Case V1,Accessories,332,1,3,334
2024-03-05,P166,Desk Mat V1,Accessories,173,4,2,171
2024-03-06,P142,Table Clock V1,Home,110,4,3,109
2024-03-06,P156,Laptop Bag V3,Accessories,401,3,4,402
2024-03-06,P161,Charging Cable V2,Accessories,272,1,4,275
2024-03-06,P177,Tea V3,Grocery,175,6,2,171
2024-03-07,P130,File Folder V1,Office,387,4,4,387
2024-03-07,P139,Storage Box V1,Home,148,4,3,147
2024-03-07,P149,LED Bulb V2,Home,53,4,1,50
2024-03-07,P161,Charging Cable V2,Accessories,345,3,5,347
2024-03-07,P164,Power Bank V2,Accessories,321,3,5,323
2024-03-07,P171,Travel Pouch V3,Accessories,232,1,6,237
2024-03-08,P104,Keyboard V2,Electronics,296,1,2,297
2024-03-08,P106,Headphones V1,Electronics,394,1,0,393
2024-03-08,P132,File Folder V3,Office,201,1,6,206
2024-03-08,P137,Water Bottle V2,Home,77,2,4,79
2024-03-09,P104,Keyboard V2,Electronics,336,6,5,335
2024-03-09,P105,Keyboard V3,Electronics,248,3,2,247
2024-03-09,P114,Webcam V3,Electronics,366,1,9,374
2024-03-09,P147,Cushion V3,Home,224,2,2,224
2024-03-09,P151,Cleaning Kit V1,Home,147,3,3,147
2024-03-09,P158,Phone Case V2,Accessories,315,1,3,317
2024-03-10,P101,Wireless Mouse V2,Electronics,173,2,3,174
2024-03-10,P104,Keyboard V2,Electronics,353,3,1,351
2024-03-10,P111,USB Hub V3,Electronics,364,3,4,365
2024-03-10,P114,Webcam V3,Electronics,366,4,1,363
2024-03-10,P156,Laptop Bag V3,Accessories,299,2,6,303
2024-03-10,P162,Charging Cable V3,Accessories,211,2,6,215
2024-03-10,P169,Travel Pouch V1,Accessories,274,4,6,276
2024-03-11,P106,Headphones V1,Electronics,385,3,2,384
2024-03-11,P107,Headphones V2,Electronics,123,5,4,122
2024-03-11,P132,File Folder V3,Office,329,4,3,328
2024-03-11,P160,Charging Cable V1,Accessories,363,3,4,364
2024-03-11,P169,Travel Pouch V1,Accessories,212,2,3,213
2024-03-11,P178,Biscuits V1,Grocery,305,1,1,305
2024-03-12,P102,Wireless Mouse V3,Electronics,335,1,7,341
2024-03-12,P115,Bluetooth Speaker V1,Electronics,392,1,4,395
2024-03-12,P136,Water Bottle V1,Home,232,1,4,235
2024-03-12,P143,Table Clock V2,Home,120,2,3,121
2024-03-12,P148,LED Bulb V1,Home,214,2,2,214
2024-03-12,P151,Cleaning Kit V1,Home,214,2,2,214
2024-03-12,P162,Charging Cable V3,Accessories,193,2,3,194
2024-03-13,P103,Keyboard V1,Electronics,307,7,7,307
2024-03-13,P131,File Folder V2,Office,219,2,3,220
2024-03-13,P136,Water Bottle V1,Home,344,4,3,343
2024-03-13,P145,Cushion V1,Home,154,3,4,155
2024-03-13,P147,Cushion V3,Home,215,3,5,217
2024-03-13,P165,Power Bank V3,Accessories,123,2,3,124
2024-03-14,P100,Wireless Mouse V1,Electronics,164,1,2,165
2024-03-14,P116,Bluetooth Speaker V2,Electronics,236,1,3,238
2024-03-14,P130,File Folder V1,Office,313,5,3,311
2024-03-14,P133,Stapler V1,Office,80,5,6,81
2024-03-14,P134,Stapler V2,Office,308,3,2,307
2024-03-14,P151,Cleaning Kit V1,Home,157,5,3,155
2024-03-14,P169,Travel Pouch V1,Accessories,218,3,6,221
2024-03-15,P102,Wireless Mouse V3,Electronics,344,2,5,347
2024-03-15,P127,Printer Paper V1,Office,423,3,9,429
2024-03-15,P133,Stapler V1,Office,156,1,1,156
2024-03-15,P157,Phone Case V1,Accessories,301,3,7,305
2024-03-15,P166,Desk Mat V1,Accessories,212,1,4,215
2024-03-15,P170,Travel Pouch V2,Accessories,229,1,3,231
2024-03-16,P114,Webcam V3,Electronics,335,1,3,337
2024-03-16,P117,Bluetooth Speaker V3,Electronics,226,7,3,222
2024-03-16,P150,LED Bulb V3,Home,220,2,1,219
2024-03-16,P162,Charging Cable V3,Accessories,72,3,5,74
2024-03-17,P105,Keyboard V3,Electronics,189,1,4,192
2024-03-17,P111,USB Hub V3,Electronics,417,3,3,417
2024-03-17,P125,Desk Lamp V2,Office,310,6,0,304
2024-03-17,P138,Water Bottle V3,Home,104,1,6,109
2024-03-17,P143,Table Clock V2,Home,120,1,5,124
2024-03-17,P144,Table Clock V3,Home,191,2,8,197
2024-03-17,P159,Phone Case V3,Accessories,266,4,5,267
2024-03-17,P161,Charging Cable V2,Accessories,329,2,2,329
2024-03-17,P166,Desk Mat V1,Accessories,137,2,6,141
2024-03-17,P169,Travel Pouch V1,Accessories,235,2,2,235
2024-03-18,P126,Desk Lamp V3,Office,301,4,5,302
2024-03-18,P147,Cushion V3,Home,329,5,4,328
2024-03-18,P155,Laptop Bag V2,Accessories,224,4,4,224
2024-03-18,P176,Tea V2,Grocery,336,2,6,340
2024-03-19,P114,Webcam V3,Electronics,397,2,4,399
2024-03-19,P116,Bluetooth Speaker V2,Electronics,252,3,7,256
2024-03-19,P121,Office Chair V1,Office,260,1,5,264
2024-03-19,P123,Office Chair V3,Office,57,3,3,57
2024-03-19,P126,Desk Lamp V3,Office,329,4,4,329
2024-03-19,P141,Storage Box V3,Home,241,4,4,241
2024-03-19,P150,LED Bulb V3,Home,222,1,5,226
2024-03-19,P152,Cleaning Kit V2,Home,236,2,4,238
2024-03-19,P168,Desk Mat V3,Accessories,361,2,4,363
2024-03-19,P170,Travel Pouch V2,Accessories,212,2,6,216
2024-03-20,P106,Headphones V1,Electronics,289,2,4,291
2024-03-20,P111,USB Hub V3,Electronics,417,4,5,418
2024-03-20,P130,File Folder V1,Office,296,2,3,297
2024-03-20,P132,File Folder V3,Office,217,2,4,219
2024-03-20,P143,Table Clock V2,Home,228,1,2,229
2024-03-20,P164,Power Bank V2,Accessories,244,2,5,247
2024-03-21,P106,Headphones V1,Electronics,303,5,6,304
2024-03-21,P122,Office Chair V2,Office,115,1,4,118
2024-03-21,P161,Charging Cable V2,Accessories,244,1,3,246
2024-03-21,P173,Coffee V2,Grocery,333,1,5,337
2024-03-22,P107,Headphones V2,Electronics,65,2,10,73
2024-03-22,P128,Printer Paper V2,Office,191,1,4,194
2024-03-22,P130,File Folder V1,Office,271,1,3,273
2024-03-22,P138,Water Bottle V3,Home,151,3,5,153
2024-03-22,P164,Power Bank V2,Accessories,308,3,1,306
2024-03-22,P175,Tea V1,Grocery,230,1,6,235
2024-03-22,P178,Biscuits V1,Grocery,224,1,5,228
2024-03-23,P102,Wireless Mouse V3,Electronics,253,3,3,253
2024-03-23,P109,USB Hub V1,Electronics,180,1,2,181
2024-03-23,P122,Office Chair V2,Office,116,1,2,117
2024-03-23,P127,Printer Paper V1,Office,412,1,0,411
2024-03-23,P136,Water Bottle V1,Home,261,2,4,263
2024-03-23,P159,Phone Case V3,Accessories,320,1,5,324
2024-03-23,P173,Coffee V2,Grocery,244,3,4,245
2024-03-23,P176,Tea V2,Grocery,400,5,1,396
2024-03-24,P136,Water Bottle V1,Home,239,3,8,244
2024-03-24,P138,Water Bottle V3,Home,82,2,2,82
2024-03-24,P146,Cushion V2,Home,227,1,6,232
2024-03-24,P156,Laptop Bag V3,Accessories,354,2,4,356
2024-03-24,P168,Desk Mat V3,Accessories,412,2,3,413
2024-03-25,P104,Keyboard V2,Electronics,268,3,4,269
2024-03-25,P110,USB Hub V2,Electronics,289,3,6,292
2024-03-25,P119,Notebook V2,Office,320,1,5,324
2024-03-25,P148,LED Bulb V1,Home,170,1,3,172
2024-03-26,P109,USB Hub V1,Electronics,286,5,1,282
2024-03-26,P110,USB Hub V2,Electronics,257,4,3,256
2024-03-26,P120,Notebook V3,Office,158,2,3,159
2024-03-26,P157,Phone Case V1,Accessories,340,3,3,340
2024-03-26,P163,Power Bank V1,Accessories,412,3,3,412
2024-03-28,P115,Bluetooth Speaker V1,Electronics,392,2,3,393
2024-03-28,P123,Office Chair V3,Office,192,2,8,198
2024-03-28,P126,Desk Lamp V3,Office,272,1,7,278
2024-03-28,P151,Cleaning Kit V1,Home,191,2,7,196
